K,r_mean,F_mean,rho_fp,arg_fp,rho_monodromy,arg_monodromy,fp_found
1.1,0.500599876892612,0.7267551005304518,2.013329422600437,0.0,876843716158059.2,0.0,1.0
1.12,0.498894495370441,0.724241826407579,2.032832035010573,0.0,2841846285.880423,3.141592653589793,1.0
1.1400000000000001,0.4981272362673085,0.6903126257488102,2.052334508867441,0.0,241918606018.06747,0.0,1.0
1.1600000000000001,0.5055421887149875,0.6287374097384502,2.0718368390331086,0.0,172799801004262.0,0.0,1.0
1.1800000000000002,0.4997991435588965,0.7481179305748624,2.0913390287358404,0.0,55419051212136.53,0.0,1.0
1.2000000000000002,0.5050051873518054,0.7493745676362982,2.1108410730308185,0.0,4353972297408004.0,0.0,1.0
1.2200000000000002,0.5044089936191446,0.5470560007451156,2.1303429753400622,0.0,2.807360754247179e+17,0.0,1.0
1.2400000000000002,0.5090060380978213,0.48673742179616636,2.149844735740851,0.0,37204339856916.016,3.141592653589793,1.0
1.26,0.508725624049483,0.5181533483320494,2.1693463555087824,0.0,3054395366051.956,3.141592653589793,1.0
1.28,0.5095660643963227,0.39751619043421477,2.188847835555589,0.0,1.665539506823241e+18,0.0,1.0
1.3,0.5035261108675186,0.35227725622254663,2.208349176942155,0.0,1.325897091625728e+18,3.141592653589793,1.0
1.32,0.5000497363431763,0.2831622178435757,2.2278503842890536,0.0,1.7235699800163863e+19,0.0,1.0
1.34,0.49608381540834434,0.28064894372070415,2.247351454709224,0.0,1.776709378231987e+16,3.141592653589793,1.0
1.36,0.5016075210627386,0.1587551487614171,2.2668523978056787,0.0,579207944239864.5,0.0,1.0
1.3800000000000001,0.48980779197581004,0.09215338450531722,2.286353209846613,0.0,4164107950037266.0,3.141592653589793,1.0
1.4000000000000001,0.4821901652376867,0.04565781323218219,2.305853893359191,0.0,3.556297467454605e+17,0.0,1.0
1.4200000000000002,0.4968039555432172,0.06450736915372035,2.325354457515846,0.0,8.457930715105888e+19,0.0,1.0
1.4400000000000002,0.4946501711071511,0.006702064327667543,2.3448548967985103,0.0,1.6716145835906816e+21,0.0,1.0
1.46,0.48253643828768944,-0.04105014400689252,2.3643552187545196,0.0,4.868837684506622e+18,3.141592653589793,1.0
1.48,0.485036598586163,-0.14158110892176368,2.3838554206028726,0.0,4683819222809514.0,0.0,1.0
1.5,0.4918920015513167,-0.012147491593867915,2.40335551124574,0.0,2.040721255290721e+19,0.0,1.0
1.52,0.49128073048303533,-0.008377580409561639,2.4228554900047636,0.0,5.800446426598636e+20,3.141592653589793,1.0
1.54,0.49786099949395113,0.029321531433516786,2.4423553591860756,0.0,2.0456528472556084e+20,3.141592653589793,1.0
1.56,0.5043523338851073,0.0016755160819301295,2.461855122874751,0.0,2.361442330602053e+19,0.0,1.0
1.58,0.5026997686159287,0.004188790204786963,2.4813547818587143,0.0,9.739067697162662e+18,3.141592653589793,1.0
1.6,0.5058530163729901,0.025551620249209987,2.5008543402549104,0.0,7.1780287302597096e+22,3.141592653589793,1.0
1.62,0.5034716705671306,0.025551620249209924,2.520353799414709,0.0,5.407702522646386e+18,0.0,1.0
1.6400000000000001,0.5103510228028842,0.00795870138910694,2.539853161953621,0.0,3.532297486180732e+17,0.0,1.0
1.6600000000000001,0.5151542058451146,-0.027227136331101114,2.5593524288368394,0.0,2.438405031513575e+18,3.141592653589793,1.0
1.6800000000000002,0.5093414348333722,0.04817108735504888,2.5788516044122174,0.0,1.9046485617316423e+21,3.141592653589793,1.0
1.7000000000000002,0.5145835589276425,-0.012147491593881744,2.598350690300556,0.0,2.3871501758921667e+20,3.141592653589793,1.0
1.7200000000000002,0.5176058243632747,0.01675516081915874,2.6178496876192643,0.0,1.4456021594563098e+17,3.141592653589793,1.0
1.7400000000000002,0.5165352815599783,-0.059899699928441984,2.6373485978351967,0.0,1.3085644401207665e+19,3.141592653589793,1.0
1.7600000000000002,0.5201408318993613,-0.08377580409572392,2.656847425212424,0.0,3.056284054984857e+20,3.141592653589793,1.0
1.7800000000000002,0.5234349133353324,-0.07497934466566647,2.6763461718660637,0.0,7.441487832319447e+17,3.141592653589793,1.0
1.8000000000000003,0.5241193069610858,-0.02597049926966654,2.695844839046469,0.0,1.2850184208552646e+23,3.141592653589793,1.0
1.82,0.524983517116407,-0.0787492558499752,2.7153434277406165,0.0,9.504713210680092e+20,0.0,1.0
1.84,0.5196624259197316,-0.08126252997288873,2.73484193932905,0.0,9.438717990895446e+19,3.141592653589793,1.0
1.86,0.5254433359754448,-0.17551030958054326,2.7543403796514707,0.0,1.5766114963202064e+20,0.0,1.0
1.8800000000000001,0.5200225073249579,-0.08251916703428935,2.773838744182784,0.0,5.205266685603328e+19,0.0,1.0
1.9000000000000001,0.5219110998176023,-0.09885544883297225,2.793337041177982,0.0,1.2313321696511933e+22,3.141592653589793,1.0
1.9200000000000002,0.5249853835532243,-0.03476695869972823,2.812835266838995,0.0,2.4580051640415003e+19,3.141592653589793,1.0
1.94,0.525921242493157,-0.0699527964199254,2.832333423890917,0.0,2.6128821728335733e+22,0.0,1.0
1.96,0.5211013637048971,-0.09257226352576871,2.8518315188169248,0.0,2.8342297707216364e+16,1.3492348395238212,1.0
1.98,0.5240563663309444,-0.1202182788773682,2.871329546642845,0.0,1.758454093764201e+23,0.0,1.0
2.0,0.5249799982401016,-0.09382890058720335,2.8908275113088413,0.0,2.3508380834638266e+19,0.0,1.0
2.02,0.5196489511007154,-0.14409438304463862,2.91032541636475,0.0,1.466404343065651e+24,0.0,1.0
2.04,0.5232987386813184,-0.0800058929114111,2.9298232613049917,0.0,1.4034668731200944e+22,0.0,1.0
2.06,0.5233696279288881,-0.09759881177154037,2.949321048989129,0.0,1.8355462724194014e+22,0.0,1.0
2.08,0.5191694585782629,-0.04858996637552732,2.9688187752378017,0.0,1.922211954087781e+22,0.0,1.0
2.1,0.5198411235064411,-0.023457225146797867,2.988316448839109,0.0,6.702099946342156e+24,0.0,1.0
